Read new prefs: /home/juan/.config/blender/2.76/config/userpref.blend
read blend: /home/juan/Documents/William/William.blend
Dependency cycle detected:
  Plane.001 depends on Cube.001 through Cloth Collision.
  Cube.001 depends on Plane.001 through Field Collision.

Fra:0 Mem:103.90M (0.00M, Peak 371.19M) | Time:00:00.27 | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Synchronizing object | Plane.003
Fra:0 Mem:103.90M (0.00M, Peak 371.19M) | Time:00:00.27 | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Synchronizing object | Plane.002
Fra:0 Mem:103.90M (0.00M, Peak 371.19M) | Time:00:00.27 | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Synchronizing object | Lamp.002
Fra:0 Mem:103.90M (0.00M, Peak 371.19M) | Time:00:00.27 | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Synchronizing object | Lamp.001
Fra:0 Mem:103.90M (0.00M, Peak 371.19M) | Time:00:00.27 | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Synchronizing object | Plane
Fra:0 Mem:103.91M (0.00M, Peak 371.19M) | Time:00:00.27 | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Synchronizing object | Text
Fra:0 Mem:111.42M (0.00M, Peak 371.19M) | Time:00:00.29 | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Synchronizing object | Plane.001
Fra:0 Mem:113.71M (0.00M, Peak 371.19M) | Time:00:00.30 | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Synchronizing object | Cube.001
Fra:0 Mem:173.28M (0.00M, Peak 371.19M) | Time:00:00.80 | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Synchronizing object | Camera
Fra:0 Mem:173.28M (0.00M, Peak 371.19M) | Time:00:00.80 | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Initializing
Fra:0 Mem:173.28M (0.00M, Peak 371.19M) | Time:00:00.80 | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Loading render kernels (may take a few minutes the first time)
Fra:0 Mem:173.28M (0.00M, Peak 371.19M) | Time:00:00.81 | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Waiting for render to start
Fra:0 Mem:173.28M (0.00M, Peak 371.19M) | Time:00:00.81 | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Updating Scene
Fra:0 Mem:173.28M (0.00M, Peak 371.19M) | Time:00:00.81 | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Updating Shaders
Fra:0 Mem:173.28M (0.00M, Peak 371.19M) | Time:00:00.99 | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Updating Background
Fra:0 Mem:173.28M (0.00M, Peak 371.19M) | Time:00:00.99 | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Updating Camera
Fra:0 Mem:173.28M (0.00M, Peak 371.19M) | Time:00:00.99 | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Updating Objects
Fra:0 Mem:173.28M (0.00M, Peak 371.19M) | Time:00:00.99 | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Updating Objects | Copying Transformations to device
Fra:0 Mem:173.28M (0.00M, Peak 371.19M) | Time:00:01.00 | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Updating Objects | Applying Static Transformations
Fra:0 Mem:173.28M (0.00M, Peak 371.19M) | Time:00:01.00 | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Updating Meshes Flags
Fra:0 Mem:173.28M (0.00M, Peak 371.19M) | Time:00:01.00 | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Updating Meshes
Fra:0 Mem:173.28M (0.00M, Peak 371.19M) | Time:00:01.01 | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Updating Mesh | Computing normals
Fra:0 Mem:173.28M (0.00M, Peak 371.19M) | Time:00:01.02 | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Updating Mesh | Copying Mesh to device
Fra:0 Mem:173.28M (0.00M, Peak 371.19M) | Time:00:01.02 | Mem:11.52M, Peak:11.52M | Scene, RenderLayer | Updating Mesh | Computing attributes
Fra:0 Mem:173.28M (0.00M, Peak 371.19M) | Time:00:01.03 | Mem:11.52M, Peak:11.52M | Scene, RenderLayer | Updating Mesh | Copying Attributes to device
Fra:0 Mem:173.28M (0.00M, Peak 371.19M) | Time:00:01.03 | Mem:26.29M, Peak:26.29M | Scene, RenderLayer | Updating Scene BVH | Building
Fra:0 Mem:173.28M (0.00M, Peak 371.19M) | Time:00:01.03 | Mem:26.29M, Peak:26.29M | Scene, RenderLayer | Updating Scene BVH | Building BVH
Fra:0 Mem:173.28M (0.00M, Peak 371.19M) | Time:00:01.30 | Mem:26.29M, Peak:26.29M | Scene, RenderLayer | Updating Scene BVH | Packing BVH triangles and strands
Fra:0 Mem:173.28M (0.00M, Peak 371.19M) | Time:00:01.32 | Mem:26.29M, Peak:26.29M | Scene, RenderLayer | Updating Scene BVH | Packing BVH nodes
Fra:0 Mem:173.28M (0.00M, Peak 371.19M) | Time:00:01.35 | Mem:26.29M, Peak:26.29M | Scene, RenderLayer | Updating Scene BVH | Copying BVH to device
Fra:0 Mem:173.28M (0.00M, Peak 371.19M) | Time:00:01.36 | Mem:52.74M, Peak:52.74M | Scene, RenderLayer | Updating Objects Flags
Fra:0 Mem:173.28M (0.00M, Peak 371.19M) | Time:00:01.36 | Mem:52.74M, Peak:52.74M | Scene, RenderLayer | Updating Images
Fra:0 Mem:173.28M (0.00M, Peak 371.19M) | Time:00:01.36 | Mem:52.74M, Peak:52.74M | Scene, RenderLayer | Updating Images | Loading wood_texture.jpg
Fra:0 Mem:173.28M (0.00M, Peak 371.19M) | Time:00:01.38 | Mem:55.38M, Peak:55.38M | Scene, RenderLayer | Updating Camera Volume
Fra:0 Mem:173.28M (0.00M, Peak 371.19M) | Time:00:01.38 | Mem:55.38M, Peak:55.38M | Scene, RenderLayer | Updating Hair Systems
Fra:0 Mem:173.28M (0.00M, Peak 371.19M) | Time:00:01.38 | Mem:55.38M, Peak:55.38M | Scene, RenderLayer | Updating Hair settings | Copying Hair settings to device
Fra:0 Mem:173.28M (0.00M, Peak 371.19M) | Time:00:01.38 | Mem:55.38M, Peak:55.38M | Scene, RenderLayer | Updating Lookup Tables
Fra:0 Mem:173.28M (0.00M, Peak 371.19M) | Time:00:01.38 | Mem:55.63M, Peak:55.63M | Scene, RenderLayer | Updating Lights
Fra:0 Mem:173.28M (0.00M, Peak 371.19M) | Time:00:01.38 | Mem:55.63M, Peak:55.63M | Scene, RenderLayer | Updating Lights | Computing distribution
Fra:0 Mem:173.28M (0.00M, Peak 371.19M) | Time:00:01.38 | Mem:55.63M, Peak:55.63M | Scene, RenderLayer | Updating Particle Systems
Fra:0 Mem:173.28M (0.00M, Peak 371.19M) | Time:00:01.38 | Mem:55.63M, Peak:55.63M | Scene, RenderLayer | Updating Particle Systems | Copying Particles to device
Fra:0 Mem:173.28M (0.00M, Peak 371.19M) | Time:00:01.38 | Mem:55.63M, Peak:55.63M | Scene, RenderLayer | Updating Film
Fra:0 Mem:173.28M (0.00M, Peak 371.19M) | Time:00:01.38 | Mem:55.63M, Peak:55.63M | Scene, RenderLayer | Updating Integrator
Fra:0 Mem:173.28M (0.00M, Peak 371.19M) | Time:00:01.38 | Mem:55.65M, Peak:55.65M | Scene, RenderLayer | Updating Lookup Tables
Fra:0 Mem:173.28M (0.00M, Peak 371.19M) | Time:00:01.38 | Mem:55.65M, Peak:55.65M | Scene, RenderLayer | Updating Baking
Fra:0 Mem:173.28M (0.00M, Peak 371.19M) | Time:00:01.38 | Mem:55.65M, Peak:55.65M | Scene, RenderLayer | Updating Device | Writing constant memory
Fra:6 Mem:173.18M (0.00M, Peak 371.19M) | Time:00:30.80 | Remaining:02:29.41 | Mem:55.65M, Peak:57.90M | Scene, RenderLayer | Path Tracing Tile 2/12, Sample 100/100
Fra:6 Mem:173.18M (0.00M, Peak 371.19M) | Time:00:30.81 | Remaining:02:29.43 | Mem:57.90M, Peak:57.90M | Scene, RenderLayer | Path Tracing Tile 3/12, Sample 0/100
Fra:6 Mem:173.18M (0.00M, Peak 371.19M) | Time:00:30.96 | Remaining:02:29.28 | Mem:57.90M, Peak:57.90M | Scene, RenderLayer | Path Tracing Tile 3/12, Sample 1/100
Fra:6 Mem:173.18M (0.00M, Peak 371.19M) | Time:00:32.04 | Remaining:02:28.39 | Mem:57.90M, Peak:57.90M | Scene, RenderLayer | Path Tracing Tile 3/12, Sample 8/100
Fra:6 Mem:173.18M (0.00M, Peak 371.19M) | Time:00:33.12 | Remaining:02:27.53 | Mem:57.90M, Peak:57.90M | Scene, RenderLayer | Path Tracing Tile 3/12, Sample 15/100
Fra:6 Mem:173.18M (0.00M, Peak 371.19M) | Time:00:34.14 | Remaining:02:26.34 | Mem:57.90M, Peak:57.90M | Scene, RenderLayer | Path Tracing Tile 3/12, Sample 22/100
Fra:6 Mem:173.18M (0.00M, Peak 371.19M) | Time:00:35.18 | Remaining:02:25.25 | Mem:57.90M, Peak:57.90M | Scene, RenderLayer | Path Tracing Tile 3/12, Sample 29/100
Fra:6 Mem:173.18M (0.00M, Peak 371.19M) | Time:00:36.21 | Remaining:02:24.13 | Mem:57.90M, Peak:57.90M | Scene, RenderLayer | Path Tracing Tile 3/12, Sample 36/100
Fra:6 Mem:173.18M (0.00M, Peak 371.19M) | Time:00:37.35 | Remaining:02:22.73 | Mem:57.90M, Peak:57.90M | Scene, RenderLayer | Path Tracing Tile 3/12, Sample 44/100
Fra:6 Mem:173.18M (0.00M, Peak 371.19M) | Time:00:38.38 | Remaining:02:21.63 | Mem:57.90M, Peak:57.90M | Scene, RenderLayer | Path Tracing Tile 3/12, Sample 51/100
Fra:6 Mem:173.18M (0.00M, Peak 371.19M) | Time:00:39.46 | Remaining:02:20.69 | Mem:57.90M, Peak:57.90M | Scene, RenderLayer | Path Tracing Tile 3/12, Sample 58/100
Fra:6 Mem:173.18M (0.00M, Peak 371.19M) | Time:00:40.54 | Remaining:02:19.78 | Mem:57.90M, Peak:57.90M | Scene, RenderLayer | Path Tracing Tile 3/12, Sample 65/100
Fra:6 Mem:173.18M (0.00M, Peak 371.19M) | Time:00:41.60 | Remaining:02:18.78 | Mem:57.90M, Peak:57.90M | Scene, RenderLayer | Path Tracing Tile 3/12, Sample 72/100
Fra:6 Mem:173.18M (0.00M, Peak 371.19M) | Time:00:42.71 | Remaining:02:17.93 | Mem:57.90M, Peak:57.90M | Scene, RenderLayer | Path Tracing Tile 3/12, Sample 79/100
Fra:6 Mem:173.18M (0.00M, Peak 371.19M) | Time:00:43.77 | Remaining:02:16.93 | Mem:57.90M, Peak:57.90M | Scene, RenderLayer | Path Tracing Tile 3/12, Sample 86/100
Fra:6 Mem:173.18M (0.00M, Peak 371.19M) | Time:00:44.87 | Remaining:02:16.05 | Mem:57.90M, Peak:57.90M | Scene, RenderLayer | Path Tracing Tile 3/12, Sample 93/100
Fra:6 Mem:173.18M (0.00M, Peak 371.19M) | Time:00:45.96 | Remaining:02:15.10 | Mem:57.90M, Peak:57.90M | Scene, RenderLayer | Path Tracing Tile 3/12, Sample 100/100
Fra:6 Mem:173.18M (0.00M, Peak 371.19M) | Time:00:45.96 | Remaining:02:15.13 | Mem:57.34M, Peak:57.90M | Scene, RenderLayer | Path Tracing Tile 4/12, Sample 0/100
Fra:6 Mem:173.18M (0.00M, Peak 371.19M) | Time:00:46.98 | Remaining:02:12.81 | Mem:57.34M, Peak:57.90M | Scene, RenderLayer | Path Tracing Tile 4/12, Sample 9/100
Fra:6 Mem:173.18M (0.00M, Peak 371.19M) | Time:00:48.01 | Remaining:02:10.60 | Mem:57.34M, Peak:57.90M | Scene, RenderLayer | Path Tracing Tile 4/12, Sample 18/100
Fra:6 Mem:173.18M (0.00M, Peak 371.19M) | Time:00:49.07 | Remaining:02:07.99 | Mem:57.34M, Peak:57.90M | Scene, RenderLayer | Path Tracing Tile 4/12, Sample 28/100
Fra:6 Mem:173.18M (0.00M, Peak 371.19M) | Time:00:50.15 | Remaining:02:05.53 | Mem:57.34M, Peak:57.90M | Scene, RenderLayer | Path Tracing Tile 4/12, Sample 38/100
Fra:6 Mem:173.18M (0.00M, Peak 371.19M) | Time:00:51.21 | Remaining:02:03.12 | Mem:57.34M, Peak:57.90M | Scene, RenderLayer | Path Tracing Tile 4/12, Sample 48/100
Fra:6 Mem:173.18M (0.00M, Peak 371.19M) | Time:00:52.29 | Remaining:02:01.30 | Mem:57.34M, Peak:57.90M | Scene, RenderLayer | Path Tracing Tile 4/12, Sample 57/100
Fra:6 Mem:173.18M (0.00M, Peak 371.19M) | Time:00:53.35 | Remaining:01:59.46 | Mem:57.34M, Peak:57.90M | Scene, RenderLayer | Path Tracing Tile 4/12, Sample 66/100
Fra:6 Mem:173.18M (0.00M, Peak 371.19M) | Time:00:54.41 | Remaining:01:57.66 | Mem:57.34M, Peak:57.90M | Scene, RenderLayer | Path Tracing Tile 4/12, Sample 75/100
Fra:6 Mem:173.18M (0.00M, Peak 371.19M) | Time:00:55.43 | Remaining:01:55.83 | Mem:57.34M, Peak:57.90M | Scene, RenderLayer | Path Tracing Tile 4/12, Sample 84/100
Fra:6 Mem:173.18M (0.00M, Peak 371.19M) | Time:00:56.50 | Remaining:01:54.13 | Mem:57.34M, Peak:57.90M | Scene, RenderLayer | Path Tracing Tile 4/12, Sample 93/100
Fra:6 Mem:173.18M (0.00M, Peak 371.19M) | Time:00:57.32 | Remaining:01:52.80 | Mem:55.65M, Peak:57.90M | Scene, RenderLayer | Path Tracing Tile 4/12, Sample 100/100
Fra:6 Mem:173.18M (0.00M, Peak 371.19M) | Time:00:57.33 | Remaining:01:52.81 | Mem:57.90M, Peak:57.90M | Scene, RenderLayer | Path Tracing Tile 5/12, Sample 0/100
Fra:6 Mem:173.18M (0.00M, Peak 371.19M) | Time:00:57.57 | Remaining:01:52.46 | Mem:57.90M, Peak:57.90M | Scene, RenderLayer | Path Tracing Tile 5/12, Sample 2/100
Fra:6 Mem:173.18M (0.00M, Peak 371.19M) | Time:00:58.61 | Remaining:01:51.15 | Mem:57.90M, Peak:57.90M | Scene, RenderLayer | Path Tracing Tile 5/12, Sample 10/100
Fra:6 Mem:173.18M (0.00M, Peak 371.19M) | Time:00:59.65 | Remaining:01:49.86 | Mem:57.90M, Peak:57.90M | Scene, RenderLayer | Path Tracing Tile 5/12, Sample 18/100
Fra:6 Mem:173.18M (0.00M, Peak 371.19M) | Time:01:00.78 | Remaining:01:48.37 | Mem:57.90M, Peak:57.90M | Scene, RenderLayer | Path Tracing Tile 5/12, Sample 27/100
Fra:6 Mem:173.18M (0.00M, Peak 371.19M) | Time:01:01.79 | Remaining:01:47.04 | Mem:57.90M, Peak:57.90M | Scene, RenderLayer | Path Tracing Tile 5/12, Sample 35/100
Fra:6 Mem:173.18M (0.00M, Peak 371.19M) | Time:01:02.90 | Remaining:01:45.53 | Mem:57.90M, Peak:57.90M | Scene, RenderLayer | Path Tracing Tile 5/12, Sample 44/100
Fra:6 Mem:173.18M (0.00M, Peak 371.19M) | Time:01:03.90 | Remaining:01:44.59 | Mem:57.90M, Peak:57.90M | Scene, RenderLayer | Path Tracing Tile 5/12, Sample 51/100
Fra:6 Mem:173.18M (0.00M, Peak 371.19M) | Time:01:05.01 | Remaining:01:43.46 | Mem:57.90M, Peak:57.90M | Scene, RenderLayer | Path Tracing Tile 5/12, Sample 59/100
Fra:6 Mem:173.18M (0.00M, Peak 371.19M) | Time:01:06.11 | Remaining:01:42.32 | Mem:57.90M, Peak:57.90M | Scene, RenderLayer | Path Tracing Tile 5/12, Sample 67/100
Fra:6 Mem:173.18M (0.00M, Peak 371.19M) | Time:01:07.17 | Remaining:01:41.11 | Mem:57.90M, Peak:57.90M | Scene, RenderLayer | Path Tracing Tile 5/12, Sample 75/100
Fra:6 Mem:173.18M (0.00M, Peak 371.19M) | Time:01:08.28 | Remaining:01:39.64 | Mem:57.90M, Peak:57.90M | Scene, RenderLayer | Path Tracing Tile 5/12, Sample 84/100
Fra:6 Mem:173.18M (0.00M, Peak 371.19M) | Time:01:09.37 | Remaining:01:38.16 | Mem:57.90M, Peak:57.90M | Scene, RenderLayer | Path Tracing Tile 5/12, Sample 93/100
Fra:6 Mem:173.18M (0.00M, Peak 371.19M) | Time:01:10.30 | Remaining:01:37.13 | Mem:55.65M, Peak:57.90M | Scene, RenderLayer | Path Tracing Tile 5/12, Sample 100/100
Fra:6 Mem:173.18M (0.00M, Peak 371.19M) | Time:01:10.31 | Remaining:01:37.14 | Mem:57.90M, Peak:57.90M | Scene, RenderLayer | Path Tracing Tile 6/12, Sample 0/100
Fra:6 Mem:173.18M (0.00M, Peak 371.19M) | Time:01:10.45 | Remaining:01:37.00 | Mem:57.90M, Peak:57.90M | Scene, RenderLayer | Path Tracing Tile 6/12, Sample 1/100
Fra:6 Mem:173.18M (0.00M, Peak 371.19M) | Time:01:11.50 | Remaining:01:36.14 | Mem:57.90M, Peak:57.90M | Scene, RenderLayer | Path Tracing Tile 6/12, Sample 8/100
Fra:6 Mem:173.18M (0.00M, Peak 371.19M) | Time:01:12.52 | Remaining:01:35.22 | Mem:57.90M, Peak:57.90M | Scene, RenderLayer | Path Tracing Tile 6/12, Sample 15/100
Fra:6 Mem:173.18M (0.00M, Peak 371.19M) | Time:01:13.56 | Remaining:01:34.34 | Mem:57.90M, Peak:57.90M | Scene, RenderLayer | Path Tracing Tile 6/12, Sample 22/100
Fra:6 Mem:173.18M (0.00M, Peak 371.19M) | Time:01:14.61 | Remaining:01:33.46 | Mem:57.90M, Peak:57.90M | Scene, RenderLayer | Path Tracing Tile 6/12, Sample 29/100
Fra:6 Mem:173.18M (0.00M, Peak 371.19M) | Time:01:15.62 | Remaining:01:32.53 | Mem:57.90M, Peak:57.90M | Scene, RenderLayer | Path Tracing Tile 6/12, Sample 36/100
Fra:6 Mem:173.18M (0.00M, Peak 371.19M) | Time:01:16.62 | Remaining:01:31.59 | Mem:57.90M, Peak:57.90M | Scene, RenderLayer | Path Tracing Tile 6/12, Sample 43/100
Fra:6 Mem:173.18M (0.00M, Peak 371.19M) | Time:01:17.72 | Remaining:01:30.76 | Mem:57.90M, Peak:57.90M | Scene, RenderLayer | Path Tracing Tile 6/12, Sample 50/100
Fra:6 Mem:173.18M (0.00M, Peak 371.19M) | Time:01:18.80 | Remaining:01:29.90 | Mem:57.90M, Peak:57.90M | Scene, RenderLayer | Path Tracing Tile 6/12, Sample 57/100
Fra:6 Mem:173.18M (0.00M, Peak 371.19M) | Time:01:19.91 | Remaining:01:29.07 | Mem:57.90M, Peak:57.90M | Scene, RenderLayer | Path Tracing Tile 6/12, Sample 64/100
Fra:6 Mem:173.18M (0.00M, Peak 371.19M) | Time:01:20.92 | Remaining:01:28.12 | Mem:57.90M, Peak:57.90M | Scene, RenderLayer | Path Tracing Tile 6/12, Sample 71/100
Fra:6 Mem:173.18M (0.00M, Peak 371.19M) | Time:01:21.94 | Remaining:01:27.18 | Mem:57.90M, Peak:57.90M | Scene, RenderLayer | Path Tracing Tile 6/12, Sample 78/100
Fra:6 Mem:173.18M (0.00M, Peak 371.19M) | Time:01:23.02 | Remaining:01:26.02 | Mem:57.90M, Peak:57.90M | Scene, RenderLayer | Path Tracing Tile 6/12, Sample 86/100
Fra:6 Mem:173.18M (0.00M, Peak 371.19M) | Time:01:24.17 | Remaining:01:24.93 | Mem:57.90M, Peak:57.90M | Scene, RenderLayer | Path Tracing Tile 6/12, Sample 94/100
Fra:6 Mem:173.18M (0.00M, Peak 371.19M) | Time:01:25.04 | Remaining:01:24.11 | Mem:55.65M, Peak:57.90M | Scene, RenderLayer | Path Tracing Tile 6/12, Sample 100/100
Fra:6 Mem:173.18M (0.00M, Peak 371.19M) | Time:01:25.04 | Remaining:01:24.12 | Mem:57.90M, Peak:57.90M | Scene, RenderLayer | Path Tracing Tile 7/12, Sample 0/100
Fra:6 Mem:173.18M (0.00M, Peak 371.19M) | Time:01:25.18 | Remaining:01:23.98 | Mem:57.90M, Peak:57.90M | Scene, RenderLayer | Path Tracing Tile 7/12, Sample 1/100
Fra:6 Mem:173.18M (0.00M, Peak 371.19M) | Time:01:26.25 | Remaining:01:23.08 | Mem:57.90M, Peak:57.90M | Scene, RenderLayer | Path Tracing Tile 7/12, Sample 8/100
Fra:6 Mem:173.18M (0.00M, Peak 371.19M) | Time:01:27.28 | Remaining:01:22.14 | Mem:57.90M, Peak:57.90M | Scene, RenderLayer | Path Tracing Tile 7/12, Sample 15/100
Fra:6 Mem:173.18M (0.00M, Peak 371.19M) | Time:01:28.31 | Remaining:01:21.21 | Mem:57.90M, Peak:57.90M | Scene, RenderLayer | Path Tracing Tile 7/12, Sample 22/100
Fra:6 Mem:173.18M (0.00M, Peak 371.19M) | Time:01:29.35 | Remaining:01:20.27 | Mem:57.90M, Peak:57.90M | Scene, RenderLayer | Path Tracing Tile 7/12, Sample 29/100
Fra:6 Mem:173.18M (0.00M, Peak 371.19M) | Time:01:30.40 | Remaining:01:19.35 | Mem:57.90M, Peak:57.90M | Scene, RenderLayer | Path Tracing Tile 7/12, Sample 36/100
Fra:6 Mem:173.18M (0.00M, Peak 371.19M) | Time:01:31.43 | Remaining:01:18.40 | Mem:57.90M, Peak:57.90M | Scene, RenderLayer | Path Tracing Tile 7/12, Sample 43/100
Fra:6 Mem:173.18M (0.00M, Peak 371.19M) | Time:01:32.53 | Remaining:01:17.51 | Mem:57.90M, Peak:57.90M | Scene, RenderLayer | Path Tracing Tile 7/12, Sample 50/100
Fra:6 Mem:173.18M (0.00M, Peak 371.19M) | Time:01:33.64 | Remaining:01:16.62 | Mem:57.90M, Peak:57.90M | Scene, RenderLayer | Path Tracing Tile 7/12, Sample 57/100
Fra:6 Mem:173.18M (0.00M, Peak 371.19M) | Time:01:34.76 | Remaining:01:15.75 | Mem:57.90M, Peak:57.90M | Scene, RenderLayer | Path Tracing Tile 7/12, Sample 64/100
Fra:6 Mem:173.18M (0.00M, Peak 371.19M) | Time:01:35.90 | Remaining:01:14.88 | Mem:57.90M, Peak:57.90M | Scene, RenderLayer | Path Tracing Tile 7/12, Sample 71/100
Fra:6 Mem:173.18M (0.00M, Peak 371.19M) | Time:01:37.03 | Remaining:01:13.99 | Mem:57.90M, Peak:57.90M | Scene, RenderLayer | Path Tracing Tile 7/12, Sample 78/100
Fra:6 Mem:173.18M (0.00M, Peak 371.19M) | Time:01:38.11 | Remaining:01:13.07 | Mem:57.90M, Peak:57.90M | Scene, RenderLayer | Path Tracing Tile 7/12, Sample 85/100
Fra:6 Mem:173.18M (0.00M, Peak 371.19M) | Time:01:39.14 | Remaining:01:12.10 | Mem:57.90M, Peak:57.90M | Scene, RenderLayer | Path Tracing Tile 7/12, Sample 92/100
Fra:6 Mem:173.18M (0.00M, Peak 371.19M) | Time:01:40.28 | Remaining:01:11.21 | Mem:57.90M, Peak:57.90M | Scene, RenderLayer | Path Tracing Tile 7/12, Sample 99/100
Fra:6 Mem:173.18M (0.00M, Peak 371.19M) | Time:01:40.45 | Remaining:01:11.09 | Mem:55.65M, Peak:57.90M | Scene, RenderLayer | Path Tracing Tile 7/12, Sample 100/100
Fra:6 Mem:173.18M (0.00M, Peak 371.19M) | Time:01:40.46 | Remaining:01:11.09 | Mem:57.34M, Peak:57.90M | Scene, RenderLayer | Path Tracing Tile 8/12, Sample 0/100
Fra:6 Mem:173.18M (0.00M, Peak 371.19M) | Time:01:41.38 | Remaining:01:10.05 | Mem:57.34M, Peak:57.90M | Scene, RenderLayer | Path Tracing Tile 8/12, Sample 7/100
Fra:6 Mem:173.18M (0.00M, Peak 371.19M) | Time:01:42.43 | Remaining:01:08.85 | Mem:57.34M, Peak:57.90M | Scene, RenderLayer | Path Tracing Tile 8/12, Sample 15/100
Fra:6 Mem:173.18M (0.00M, Peak 371.19M) | Time:01:43.44 | Remaining:01:07.63 | Mem:57.34M, Peak:57.90M | Scene, RenderLayer | Path Tracing Tile 8/12, Sample 23/100
Fra:6 Mem:173.18M (0.00M, Peak 371.19M) | Time:01:44.46 | Remaining:01:06.42 | Mem:57.34M, Peak:57.90M | Scene, RenderLayer | Path Tracing Tile 8/12, Sample 31/100
Fra:6 Mem:173.18M (0.00M, Peak 371.19M) | Time:01:45.48 | Remaining:01:05.22 | Mem:57.34M, Peak:57.90M | Scene, RenderLayer | Path Tracing Tile 8/12, Sample 39/100
Fra:6 Mem:173.18M (0.00M, Peak 371.19M) | Time:01:46.51 | Remaining:01:04.03 | Mem:57.34M, Peak:57.90M | Scene, RenderLayer | Path Tracing Tile 8/12, Sample 47/100
Fra:6 Mem:173.18M (0.00M, Peak 371.19M) | Time:01:47.65 | Remaining:01:02.90 | Mem:57.34M, Peak:57.90M | Scene, RenderLayer | Path Tracing Tile 8/12, Sample 55/100
Fra:6 Mem:173.18M (0.00M, Peak 371.19M) | Time:01:48.67 | Remaining:01:01.93 | Mem:57.34M, Peak:57.90M | Scene, RenderLayer | Path Tracing Tile 8/12, Sample 62/100
Fra:6 Mem:173.18M (0.00M, Peak 371.19M) | Time:01:49.74 | Remaining:01:00.76 | Mem:57.34M, Peak:57.90M | Scene, RenderLayer | Path Tracing Tile 8/12, Sample 70/100
Fra:6 Mem:173.18M (0.00M, Peak 371.19M) | Time:01:50.80 | Remaining:00:59.60 | Mem:57.34M, Peak:57.90M | Scene, RenderLayer | Path Tracing Tile 8/12, Sample 78/100
Fra:6 Mem:173.18M (0.00M, Peak 371.19M) | Time:01:51.92 | Remaining:00:58.25 | Mem:57.34M, Peak:57.90M | Scene, RenderLayer | Path Tracing Tile 8/12, Sample 87/100
Fra:6 Mem:173.18M (0.00M, Peak 371.19M) | Time:01:52.99 | Remaining:00:57.09 | Mem:57.34M, Peak:57.90M | Scene, RenderLayer | Path Tracing Tile 8/12, Sample 95/100
Fra:6 Mem:173.18M (0.00M, Peak 371.19M) | Time:01:53.65 | Remaining:00:56.36 | Mem:55.65M, Peak:57.90M | Scene, RenderLayer | Path Tracing Tile 8/12, Sample 100/100
Fra:6 Mem:173.18M (0.00M, Peak 371.19M) | Time:01:53.65 | Remaining:00:56.36 | Mem:55.90M, Peak:57.90M | Scene, RenderLayer | Path Tracing Tile 9/12, Sample 0/100
Fra:6 Mem:173.18M (0.00M, Peak 371.19M) | Time:01:54.00 | Remaining:00:51.59 | Mem:55.90M, Peak:57.90M | Scene, RenderLayer | Path Tracing Tile 9/12, Sample 24/100
Fra:6 Mem:173.18M (0.00M, Peak 371.19M) | Time:01:55.01 | Remaining:00:39.22 | Mem:55.90M, Peak:57.90M | Scene, RenderLayer | Path Tracing Tile 9/12, Sample 93/100
Fra:6 Mem:173.18M (0.00M, Peak 371.19M) | Time:01:55.11 | Remaining:00:38.06 | Mem:55.65M, Peak:57.90M | Scene, RenderLayer | Path Tracing Tile 9/12, Sample 100/100
Fra:6 Mem:173.18M (0.00M, Peak 371.19M) | Time:01:55.11 | Remaining:00:38.06 | Mem:55.90M, Peak:57.90M | Scene, RenderLayer | Path Tracing Tile 10/12, Sample 0/100
Fra:6 Mem:173.18M (0.00M, Peak 371.19M) | Time:01:56.02 | Remaining:00:29.52 | Mem:55.90M, Peak:57.90M | Scene, RenderLayer | Path Tracing Tile 10/12, Sample 55/100
Fra:6 Mem:173.18M (0.00M, Peak 371.19M) | Time:01:56.72 | Remaining:00:23.15 | Mem:55.65M, Peak:57.90M | Scene, RenderLayer | Path Tracing Tile 10/12, Sample 100/100
Fra:6 Mem:173.18M (0.00M, Peak 371.19M) | Time:01:56.72 | Remaining:00:23.15 | Mem:55.90M, Peak:57.90M | Scene, RenderLayer | Path Tracing Tile 11/12, Sample 0/100
